0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 33 12 0
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
rd algo size: 1 33 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map HR to slots/PDs 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 25
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
157122,15696,415317,431304,-19,-247,981,710,100,0,0,0,0,3,
157207,15718,415392,431424,-17,-247,979,710,100,0,0,0,0,3,
157299,15736,415433,431578,-17,-247,980,710,100,0,0,0,0,3,
157446,15758,415583,431776,-17,-246,978,710,100,0,0,0,0,3,
157561,15777,415649,431958,-20,-247,981,710,100,0,0,0,0,3,
157683,15797,415666,432056,-17,-246,979,710,100,0,0,0,0,3,
157373,15749,415154,431232,-17,-246,981,710,100,0,0,0,0,3,
156300,15596,414277,429710,-18,-247,979,710,100,0,0,0,0,3,
155369,15505,413813,428877,-18,-247,979,710,100,0,0,0,0,3,
154680,15456,413570,428478,-16,-246,980,710,100,0,0,0,0,3,
154149,15414,413359,428174,-18,-246,979,710,100,0,0,0,0,3,
153707,15379,413222,427959,-18,-246,980,710,100,0,0,0,0,3,
153503,15385,413217,428010,-16,-246,979,710,100,0,0,0,0,3,
153590,15421,413265,428253,-16,-246,981,710,100,0,0,0,0,3,
153581,15423,413232,428245,-17,-246,977,710,100,0,0,0,0,3,
153553,15430,413277,428314,-17,-247,979,710,100,0,0,0,0,3,
153617,15449,413362,428454,-19,-246,979,710,100,0,0,0,0,3,
153728,15477,413433,428666,-16,-246,980,710,100,0,0,0,0,3,
153882,15511,413539,428884,-16,-246,979,710,100,0,0,0,0,3,
154046,15535,413615,429069,-19,-246,982,710,100,0,0,0,0,3,
154219,15561,413712,429269,-17,-246,979,710,100,0,0,0,0,3,
154386,15582,413816,429479,-19,-246,980,710,100,0,0,0,0,3,
154557,15610,413918,429679,-17,-246,979,710,100,0,0,0,0,3,
154712,15634,414006,429840,-18,-247,980,710,100,0,0,0,0,3,
154895,15654,414140,430085,-17,-246,979,710,100,0,0,0,0,3,
155063,15680,414271,430305,-19,-246,979,710,100,0,0,0,0,3,
155233,15701,414400,430496,-20,-247,979,710,100,0,0,0,0,3,
155389,15718,414429,430601,-19,-247,979,710,100,0,0,0,0,3,
155123,15669,413943,429829,-17,-247,979,710,100,0,0,0,0,3,
154118,15516,413146,428376,-17,-247,979,710,100,0,0,0,0,3,
153160,15424,412719,427589,-17,-246,980,710,100,0,0,0,0,3,
152504,15382,412519,427260,-17,-246,979,710,100,0,0,0,0,3,
151986,15348,412318,426969,-17,-246,979,710,100,0,0,0,0,3,
151586,15320,412195,426813,-16,-247,980,710,100,0,0,0,0,3,
151494,15332,412237,426951,-16,-246,980,710,100,0,0,0,0,3,
